url,status,depth,redirect_to,content_type,title,title_len,meta_description,desc_len,h1,h1_count,h2_count,word_count,canonical,canonical_self,meta_robots,og_locale,lang,viewport,viewport_blocks_zoom,images_total,images_missing_alt,internal_links_out,external_links_out,raw_url_link_text,content_hash,shingle_hash,load_ms
https://adancorporate.com/en-uk/home/index.html,200,0,,text/html,"Adan Corporate | Corporate Finance, M&A, Strategy, Risk Management and Digital Services",87,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,8,2639,,no,,,,"width=device-width, initial-scale=1",,34,0,221,58,0,a87a8129ba152355,81c5d1392f933964,1425
https://adancorporate.com/en-uk/about-us/company-overview.html,200,1,,text/html,Company Overview | Adan Corporate,33,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,9,1362,,no,,,,"width=device-width, initial-scale=1",,7,0,242,5,0,684c9da3d7a2ab75,478d778b62ba6d56,816
https://adancorporate.com/en-uk/about-us/vision-mission-values.html,200,1,,text/html,"Vision, Mission, Values | Adan Corporate",40,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,6,777,,no,,,,"width=device-width, initial-scale=1",,5,0,203,5,0,dd8fc2621ffd4007,a852e836d45d016a,320
https://adancorporate.com/en-uk/about-us/the-adan-advantage.html,200,1,,text/html,The Adan Advantage | Adan Corporate,35,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,9,1051,,no,,,,"width=device-width, initial-scale=1",,7,0,203,5,0,1e40db7271c0dff8,356934551f46f0a1,333
https://adancorporate.com/en-uk/about-us/team.html,200,1,,text/html,"Adan Corporate | Corporate Finance, M&A, Strategy, Risk Management and Digital Services",87,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,5,2651,,no,,,,"width=device-width, initial-scale=1",,37,0,235,64,0,2ff57a859272832b,af73fe49700cafdf,896
https://adancorporate.com/en-uk/about-us/contact-us.html,200,1,,text/html,Contact Us | Adan Corporate,27,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,6,919,,no,,,,"width=device-width, initial-scale=1",,7,0,204,5,0,ba3c2529e9851e43,36b3324d1b2290b1,329
https://adancorporate.com/en-uk/about-us/global-locations.html,200,1,,text/html,Global Locations | Adan Corporate,33,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,6,931,,no,,,,"width=device-width, initial-scale=1",,3,0,204,5,0,0693386f5a9d726f,cb37f8974bfc64a8,284
https://adancorporate.com/en-uk/clients/clients.html,200,1,,text/html,Clients | Adan Corporate,24,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,3,1877,,no,,,,"width=device-width, initial-scale=1",,3,0,348,5,0,34ef84afa30cbc3b,454cb111312d4e9e,288
https://adancorporate.com/en-uk/clients/live-deals.html,200,1,,text/html,Live Deals | Adan Corporate,27,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,2,1596,,no,,,,"width=device-width, initial-scale=1",,2,0,203,5,0,066b2d9fc887683b,c47a4ef96f08c22f,308
https://adancorporate.com/en-uk/about-us/insights-blog.html,200,1,,text/html,Insights Blog | Adan Corporate,30,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,2,1293,,no,,,,"width=device-width, initial-scale=1",,15,0,204,70,0,5a7d4a87a48ce535,f042bed4072d15ba,286
https://adancorporate.com/en-uk/about-us/a-done-deal-adan-podcast-index.html,200,1,,text/html,A Done Deal - Adan Podcast - Index | Adan Corporate,51,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,A DONE DEAL,2,1,1610,,no,,,,"width=device-width, initial-scale=1",,31,0,243,23,0,abb7a9e47ba467bf,c84adcedeae544da,346
https://adancorporate.com/en-uk/corporate-finance/index-corporate-finance.html,200,1,,text/html,Index - Corporate Finance | Adan Corporate,42,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,4,688,,no,,,en,"width=device-width, initial-scale=1",,25,0,226,5,0,876b9dd2c4a5a2cd,c85b9d84da5fafbc,322
https://adancorporate.com/en-uk/corporate-finance/index-equity-financing.html,200,1,,text/html,Index - Equity Financing | Adan Corporate,41,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,1,633,,no,,,en,"width=device-width, initial-scale=1",,8,0,209,5,0,de725fe6c4bd1e6c,602fdf3669874d97,341
https://adancorporate.com/en-uk/corporate-finance/private-equity-venture-capital.html,200,1,,text/html,Private Equity and Venture Capital | Adan Corporate,51,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,2,1706,,no,,,en,"width=device-width, initial-scale=1",,18,0,229,17,0,b37c4e21ba0e7ac2,da6e42013948c132,370
https://adancorporate.com/en-uk/corporate-finance/ipo.html,200,1,,text/html,IPO | Adan Corporate,20,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,2,1677,,no,,,en,"width=device-width, initial-scale=1",,8,0,233,9,0,43e3318ab912c98a,86919da87e4c9057,311
https://adancorporate.com/en-uk/corporate-finance/family-offices-investments.html,200,1,,text/html,Family Offices Investments | Adan Corporate,43,Adan Corporate provides a wide range of bespoke advisory services to small and medium sized enterprises at every step of the value creation journey.,148,,0,2,2162,,no,,,en,"width=device-width, initial-scale=1",,6,0,205,7,0,cab1527c83ae1760,02ebdfcec2e1e763,313
