# adancorporate.com - consolidation redirect map
# Generated 16 September 2026 from the complete 569-page crawl (queue exhausted).
#
# ASSUMES HOST AND EXTENSION CANONICALISATION IS ALREADY APPLIED.
# Apply deliverables/htaccess-canonicalisation.txt FIRST. Apex host, https, .html only.
# No www column: www.adancorporate.com is 301'd host-wide before any rule here runs.
#
# action=301  permanent redirect to new_path
# action=410  Gone, no target. The 29 /industries/ pages were byte-identical unlinked
#             doorway content. Apache: RewriteRule ^en-uk/industries/ - [G,L]
# action=keep URL survives consolidation unchanged
# rule        which generator pattern matched, for audit
#
old_path,new_path,action,rule
/en-uk/coaching/applied-entrepreneurship.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/assess-and-improve-business-relationships.html,/en-uk/coaching/team-coaching.html,301,team-coaching
/en-uk/coaching/building-coaching-cultures.html,/en-uk/coaching/team-coaching.html,301,team-coaching
/en-uk/coaching/career-identity.html,/en-uk/coaching/career-transition.html,301,career-transition
/en-uk/coaching/career-transition.html,/en-uk/coaching/career-transition.html,keep,career-transition
/en-uk/coaching/cultural-intelligence-cq.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/entrepreneurial-leadership-toolbox.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/entrepreneurial-mindset-and-leadership.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/entrepreneurship-for-engineers.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/executive-coaching.html,/en-uk/coaching/executive-coaching.html,keep,executive-coaching
/en-uk/coaching/financing-entrepreneurial-ventures.html,/en-uk/corporate-finance/growth-capital.html,301,growth-capital
/en-uk/coaching/index-careers.html,/en-uk/coaching/career-transition.html,301,career-transition
/en-uk/coaching/index-coaching.html,/en-uk/coaching/,301,coaching-hub
/en-uk/coaching/index-executive-coaching.html,/en-uk/coaching/executive-coaching.html,301,executive-coaching
/en-uk/coaching/index-leadership.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/innovation-from-concept-to-product.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/leadership-and-business-values.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/leadership-assessment.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/leadership-development.html,/en-uk/coaching/leadership-development.html,keep,leadership
/en-uk/coaching/leadership-identity.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/managing-growing-businesses.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/marketing-management.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/coaching/mentoring.html,/en-uk/coaching/mentoring.html,keep,mentoring
/en-uk/coaching/principled-negotiation-skills.html,/en-uk/coaching/leadership-development.html,301,leadership
/en-uk/coaching/purpose-assessment-and-facilitation.html,/en-uk/coaching/executive-coaching.html,301,executive-coaching
/en-uk/coaching/team-coaching.html,/en-uk/coaching/team-coaching.html,keep,team-coaching
/en-uk/coaching/transitioning-into-an-entrepreneur.html,/en-uk/coaching/entrepreneur-programmes.html,301,entrepreneur-progs
/en-uk/corporate-finance/commercial-mediation.html,/en-uk/risk/commercial-mediation.html,301,commercial-mediation
/en-uk/corporate-finance/credit-ratings-assistance.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/debt-financing.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/distressed-asset-management.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,restructuring
/en-uk/corporate-finance/divestments-and-exit-planning.html,/en-uk/m-and-a/sell-side.html,301,sell-side
/en-uk/corporate-finance/factoring.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/family-offices-investments.html,/en-uk/corporate-finance/equity-and-private-capital.html,301,equity-private-cap
/en-uk/corporate-finance/fund-placement.html,/en-uk/corporate-finance/equity-and-private-capital.html,301,equity-private-cap
/en-uk/corporate-finance/government-grants.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/index-alternative-financing.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/index-corporate-finance.html,/en-uk/corporate-finance/,301,cf-hub
/en-uk/corporate-finance/index-debt-financing.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/index-equity-financing.html,/en-uk/corporate-finance/equity-and-private-capital.html,301,equity-private-cap
/en-uk/corporate-finance/index-other-categories.html,/en-uk/corporate-finance/,301,cf-hub
/en-uk/corporate-finance/index-other-services.html,/en-uk/corporate-finance/,301,cf-hub
/en-uk/corporate-finance/index-working-capital.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/investors-performance-enhancement.html,/en-uk/corporate-finance/equity-and-private-capital.html,301,equity-private-cap
/en-uk/corporate-finance/invoice-discounting.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/corporate-finance/ipo.html,/en-uk/corporate-finance/ipo-and-public-markets.html,301,ipo
/en-uk/corporate-finance/private-equity-venture-capital.html,/en-uk/corporate-finance/equity-and-private-capital.html,301,equity-private-cap
/en-uk/corporate-finance/project-finance.html,/en-uk/corporate-finance/project-and-infrastructure-finance.html,301,project-infra
/en-uk/corporate-finance/renewable-energy-financing.html,/en-uk/corporate-finance/project-and-infrastructure-finance.html,301,project-infra
/en-uk/corporate-finance/special-situations.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,restructuring
/en-uk/corporate-finance/startups-growth-capital.html,/en-uk/corporate-finance/growth-capital.html,301,growth-capital
/en-uk/corporate-finance/transfer-pricing.html,/en-uk/corporate-finance/transfer-pricing.html,keep,transfer-pricing
/en-uk/corporate-finance/transformation-and-restructuring.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,restructuring
/en-uk/corporate-finance/working-capital-and-trade-finance.html,/en-uk/corporate-finance/debt-and-working-capital.html,301,debt-working-capital
/en-uk/covid-19/covid-19-business-continuity-and-resilience.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-business-impact-analysis.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-cash-flow-management.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-restructuring.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-risk-management.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-technology-it-continuity.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/covid-19-uk-cbils-coronavirus-business-interruption-loan-scheme.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/covid-19/index-covid-19-services.html,/en-uk/corporate-finance/restructuring-and-distressed.html,301,covid
/en-uk/digital/analytics.html,/en-uk/risk/ai-and-automation-in-risk-and-diligence.html,301,digital-ai-automation
/en-uk/digital/artificial-intelligence.html,/en-uk/risk/ai-and-automation-in-risk-and-diligence.html,301,digital-ai-automation
/en-uk/digital/blockchain-advisory.html,,410,digital-unevidenced
/en-uk/digital/internet-of-things-iot.html,,410,digital-unevidenced
/en-uk/digital/products-and-solutions.html,,410,digital-unevidenced
/en-uk/digital/robotic-process-automation-rpa.html,/en-uk/risk/ai-and-automation-in-risk-and-diligence.html,301,digital-ai-automation
/en-uk/digital/visyond.html,/en-uk/about-us/partners-and-alliances.html,301,visyond-partner
/en-uk/industries/advanced-electronics.html,,410,industries-gone
/en-uk/industries/agriculture.html,,410,industries-gone
/en-uk/industries/asset-wealth-management.html,,410,industries-gone
/en-uk/industries/banking-capital-markets.html,,410,industries-gone
/en-uk/industries/capital-projects-infrastructure.html,,410,industries-gone
/en-uk/industries/chemicals-polymers.html,,410,industries-gone
/en-uk/industries/energy-utilities.html,,410,industries-gone
/en-uk/industries/engineering-construction.html,,410,industries-gone
/en-uk/industries/financial-services.html,,410,industries-gone
/en-uk/industries/government-public-services.html,,410,industries-gone
/en-uk/industries/green-energy.html,,410,industries-gone
/en-uk/industries/healthcare-systems-services.html,,410,industries-gone
/en-uk/industries/hospitality-leisure.html,,410,industries-gone
/en-uk/industries/industrial-manufacturing.html,,410,industries-gone
/en-uk/industries/insurance.html,,410,industries-gone
/en-uk/industries/media-entertainment.html,,410,industries-gone
/en-uk/industries/metals-mining.html,,410,industries-gone
/en-uk/industries/oil-gas.html,,410,industries-gone
/en-uk/industries/pharma-life-sciences.html,,410,industries-gone
/en-uk/industries/private-equity-venture-capital.html,,410,industries-gone
